Date,Actual,Forecast
2025-01-31,0.0059016259813651,0.04717601162667399
2025-02-28,-0.0853976004069938,0.04717601162667399
2025-03-31,-0.1375624190307811,0.04717601162667399
2025-04-30,-0.0958678056623956,0.04717601162667399
2025-05-31,0.0648995038689872,0.04717601162667399
2025-06-30,0.0245861011248058,0.04717601162667399
2025-07-31,0.0118443095496603,0.04717601162667399
2025-08-31,-0.023076904393383,0.04717601162667399
2025-09-30,-0.0846456509382272,0.04717601162667399
2025-10-31,0.117204272325754,0.04717601162667399
2025-11-30,-0.0654475424996178,0.04717601162667399
2025-12-31,0.0041623309053069,0.04717601162667399
