,Lợi suất/Năm,Rủi ro (Std),Sharpe Ratio,Max Drawdown
Defensive (Phòng thủ),0.1371703132666131,0.15175864571252265,0.903871484347483,-0.13379384663286575
Aggressive (Tăng trưởng),0.31768932448120374,0.2785883005160352,1.1403541453549437,-0.11526306640302553
Chiến lược Momentum,0.5782245124029473,0.2579658163368534,2.241477256065667,-0.07354912286104409
Thị trường (VN30),0.24974264784030425,0.1539417865556883,1.622318746623363,-0.06164394043738419
