Date,Defensive,Aggressive,Momentum Strategy,Market (VN30)
2024-02-29,1.0563752753428346,1.1098016926825855,1.0954330451168723,1.0759419742164889
2024-03-31,1.0561511095795844,1.1571235020299129,1.1677294663249322,1.102876381719645
2024-04-30,1.0913038651154616,1.0711538507947214,1.0818440042804047,1.0388298648985237
2024-05-31,1.1494811110337846,1.1022629300688178,1.2022857050738023,1.083663285551099
2024-06-30,1.1872267257128897,1.0895369707848457,1.24404623905893,1.0695776897905198
2024-07-31,1.2364452498773437,1.0900342577803928,1.244592159627506,1.0748941433123482
2024-08-31,1.2824461339031308,1.1248003046053467,1.3180120392709878,1.1026874286057837
2024-09-30,1.2537578371482219,1.1710447396380084,1.298142597148867,1.1061830612122203
2024-10-31,1.2469154094438493,1.1443911524357029,1.2710657158589382,1.0860337882522697
2024-11-30,1.2573541552653378,1.08276014887393,1.2462813941027953,1.073992321632555
2024-12-31,1.2948204300855501,1.0962668228436196,1.3809010807398014,1.0880092071699121
2025-01-31,1.3644631313736546,1.0714655408409985,1.3945272043639603,1.0865233485927293
2025-02-28,1.3549655724503018,1.1266395536258675,1.4095050618954947,1.1211447123188847
2025-03-31,1.2979848797631257,1.1733192502895151,1.3341797354606033,1.1224330290043036
2025-04-30,1.2123343679318996,1.081492760653807,1.4202873500948172,1.0532418342194096
2025-05-31,1.2329077793604597,1.2637924643564105,1.7221856515977256,1.144540543326091
2025-06-30,1.255656089272168,1.2957243691432934,1.7126944011078322,1.1818759608695288
2025-07-31,1.3204485284815002,1.5661296434808425,1.9676817492314056,1.2904810574503365
2025-08-31,1.456448777148244,1.9116013783431667,2.3812021855823318,1.44481280758561
2025-09-30,1.4028626670104258,1.928425810997088,2.472776462894881,1.427197224106983
2025-10-31,1.411809899783684,1.8824620647543544,2.4672102125291246,1.4082589688313263
2025-11-30,1.3962042694599415,2.0070743136140203,2.6974641408486493,1.4523537545842613
2025-12-31,1.3471708995373592,2.059953491284707,2.825515109016336,1.5175511676443572
