Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN
2020-01-02,6790.17529296875,,27046.81640625,10186.7255859375,,23034.029296875,64245.18359375,,5654.357421875,8633.341796875,,6228.26220703125,,,,92107.578125,2432.240966796875,,9322.220703125,,10893.130859375,6606.77880859375,40011.56640625,,,51111.1171875,,,,
2020-01-03,6790.17529296875,,26931.478515625,10091.9658203125,,22640.95703125,64381.0078125,,5603.5087890625,8687.30078125,,6242.951171875,,,,92354.296875,2359.63671875,,9246.224609375,,10824.4765625,6668.814453125,39614.9765625,,,51244.44921875,,,,
2020-01-06,6642.5625,,26412.455078125,10115.65625,,22405.115234375,66418.3828125,,5491.642578125,8633.341796875,,6154.8154296875,,,,92025.3359375,2323.334716796875,,9220.8916015625,,10549.8603515625,6560.25244140625,38557.40234375,,,50888.89453125,,,,
2020-01-07,6642.5625,,26931.478515625,10281.486328125,,22837.4921875,65942.9921875,,5430.6240234375,8525.4248046875,,6169.5048828125,,,,92107.578125,2323.334716796875,,9246.224609375,,10618.513671875,6575.76171875,38689.59765625,,,50977.78125,,,,
2020-01-08,6524.47216796875,,27162.154296875,10257.7958984375,,22326.5,65875.078125,,5430.6240234375,8435.494140625,,6081.369140625,,,,91778.625,2323.334716796875,,8992.90234375,,10412.5517578125,6482.70849609375,38337.07421875,,,50800.00390625,,,,
2020-01-09,6613.0400390625,,28632.716796875,10636.8369140625,,22640.95703125,64652.6484375,,5593.33935546875,8633.341796875,,6184.19384765625,,,,93341.15625,2359.63671875,,9094.2314453125,,10549.8603515625,6544.7431640625,39086.19140625,,,50977.78125,,,,
2020-01-10,6701.607421875,,29584.2578125,11158.0185546875,,22601.650390625,65128.03515625,,5715.3759765625,8705.2861328125,,6287.01953125,,,,96013.9296875,2577.449462890625,,9271.556640625,,10595.62890625,6668.814453125,39438.71484375,,,51022.2265625,,,,
2020-01-13,6760.65283203125,,28892.228515625,10992.1884765625,,22444.421875,64720.5703125,,5674.69677734375,8723.2724609375,,6257.640625,,,,96178.3984375,2613.75146484375,,9271.556640625,,10504.08984375,6684.3232421875,39394.6484375,,,51066.671875,,,,
2020-01-14,6937.78759765625,,28892.228515625,11134.328125,,22405.115234375,64448.9140625,,5695.03662109375,8993.064453125,,6316.39794921875,,,,95808.328125,2613.75146484375,,9322.220703125,,10481.2060546875,6730.85009765625,39394.6484375,,,51111.1171875,,,,
2020-01-15,6878.7421875,,29411.25,11181.708984375,,22405.115234375,63837.70703125,,5644.18798828125,9047.0224609375,,6301.70849609375,,,,96219.5234375,2686.35546875,,9322.220703125,,10481.2060546875,6746.35888671875,39350.58203125,,,51111.1171875,,,,
